grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
Brooks Rehabilation Hospital,2012,Genesis Health Inc.,"Jacksonville, FL","Genesis Health Inc.   Jacksonville, FL","$52,124",Support of charitable purposes
Brooks Rehabilation Hospital,2012,Genesis Health Foundation Inc.,"Jacksonville, FL","Genesis Health Foundation Inc.   Jacksonville, FL","$19,898",Operational support
Brooks Rehabilation Hospital,2010,Genesis Health Foundation Inc.,"Jacksonville, FL","Genesis Health Foundation Inc.   Jacksonville, FL","$123,493",Operational support
Brooks Rehabilation Hospital,2010,Harden & Associates Foundation Tr,"Jacksonville, FL","Harden & Associates Foundation Tr   Jacksonville, FL","$5,000",Charitable use
Foundation Fighting Blindness Inc.,2025,Usher 1f Collaborative Inc.,"Newtonville, MA","Usher 1f Collaborative Inc.   Newtonville, MA","$200,000",
Foundation Fighting Blindness Inc.,2025,American Online Giving Foundation Inc.,"Newark, DE","American Online Giving Foundation Inc.   Newark, DE","$191,289",General support
Foundation Fighting Blindness Inc.,2025,Sarah K Decoizart Perpetual Charitable Tr Art 10,"Chicago, IL","Sarah K Decoizart Perpetual Charitable Tr Art 10   Chicago, IL","$100,000",Program support
Foundation Fighting Blindness Inc.,2025,Max And Minnie Tomerlin Voelcker Fund,"San Antonio, TX","Max And Minnie Tomerlin Voelcker Fund   San Antonio, TX","$100,000",Support age related macular degeneration research
Foundation Fighting Blindness Inc.,2025,Jewish Communal Fund,"New York, NY","Jewish Communal Fund   New York, NY","$66,680",In furtherance of grantee's tax-exempt purpose
Foundation Fighting Blindness Inc.,2025,Goldman Philanthropic Partnerships,"Knoxville, TN","Goldman Philanthropic Partnerships   Knoxville, TN","$40,281",Research and support
Foundation Fighting Blindness Inc.,2025,Cranberry Cup Charitable Association Inc.,"Concord, MA","Cranberry Cup Charitable Association Inc.   Concord, MA","$40,000",To help organization meet its charitable purpose
Foundation Fighting Blindness Inc.,2025,Charities Aid Foundation America,"Alexandria, VA","Charities Aid Foundation America   Alexandria, VA","$36,810",Charitable donation
Foundation Fighting Blindness Inc.,2025,Raymond James Charitable Endowment Fund,"St. Petersburg, FL","Raymond James Charitable Endowment Fund   St. Petersburg, FL","$27,150",General support
Foundation Fighting Blindness Inc.,2025,Delta Gamma Foundation,"Upper Arlngtn, OH","Delta Gamma Foundation   Upper Arlngtn, OH","$25,000",Aid for blind
Foundation Fighting Blindness Inc.,2025,Dianne And David Stern Foundation,"New York, NY","Dianne And David Stern Foundation   New York, NY","$15,000",General support
Foundation Fighting Blindness Inc.,2025,Good Seeds Foundation Inc.,"Remington, IN","Good Seeds Foundation Inc.   Remington, IN","$10,000",General fund
Foundation Fighting Blindness Inc.,2025,United Way Miami Inc.,"Miami, FL","United Way Miami Inc.   Miami, FL","$10,000",General support
