grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
Foundation Fighting Blindness Inc.,2018,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$40,500",Unrestricted general support
Foundation Fighting Blindness Inc.,2018,Hagedorn Fund,"Chicago, IL","Hagedorn Fund   Chicago, IL","$40,000",General
Foundation Fighting Blindness Inc.,2018,Allen B Cutting Foundation,"Palm City, FL","Allen B Cutting Foundation   Palm City, FL","$40,000",Education
Foundation Fighting Blindness Inc.,2018,Princeton Area Community Foundation Inc.,"Princeton, NJ","Princeton Area Community Foundation Inc.   Princeton, NJ","$35,000",General support
Foundation Fighting Blindness Inc.,2018,Charlottesville Area Community Foundation,"Charlottesvle, VA","Charlottesville Area Community Foundation   Charlottesvle, VA","$30,000",Retinoschisis research and cure.
Foundation Fighting Blindness Inc.,2018,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$27,500",Unrestricted general support
Foundation Fighting Blindness Inc.,2018,Donor Advised Charitable Giving,"San Francisco, CA","Donor Advised Charitable Giving   San Francisco, CA","$27,125",Health & human services
Foundation Fighting Blindness Inc.,2018,Dianne And David Stern Foundation,"New York, NY","Dianne And David Stern Foundation   New York, NY","$25,000",General support
Foundation Fighting Blindness Inc.,2018,Paypal Charitable Giving Fund,"Washington, DC","Paypal Charitable Giving Fund   Washington, DC","$21,807",General support
Foundation Fighting Blindness Inc.,2018,Weisman Family Foundation,"Lantana, FL","Weisman Family Foundation   Lantana, FL","$20,000",To help support charitable organizations
Foundation Fighting Blindness Inc.,2018,Bluhm Family Charitable Foundation,"Chicago, IL","Bluhm Family Charitable Foundation   Chicago, IL","$20,000",Unrestricted charitable use
Foundation Fighting Blindness Inc.,2018,Bluhm Family Charitable Foundation,"Chicago, IL","Bluhm Family Charitable Foundation   Chicago, IL","$20,000",Unrestricted charitable use
Foundation Fighting Blindness Inc.,2018,Jewish Federation Of Metropolitan Chicago,"Chicago, IL","Jewish Federation Of Metropolitan Chicago   Chicago, IL","$15,550",Grants from donor advised funds - operating support
Foundation Fighting Blindness Inc.,2018,American Endowment Foundation,"Hudson, OH","American Endowment Foundation   Hudson, OH","$14,250",Programs
Foundation Fighting Blindness Inc.,2018,Mabel H Flory Charitable Trust,"Orlando, FL","Mabel H Flory Charitable Trust   Orlando, FL","$13,525",Research
Foundation Fighting Blindness Inc.,2018,Donor Advised Charitable Giving,"San Francisco, CA","Donor Advised Charitable Giving   San Francisco, CA","$12,950",Health & human services
Foundation Fighting Blindness Inc.,2018,Sylvanlaureate Foundation Inc,"Wilmington, DE","Sylvanlaureate Foundation Inc   Wilmington, DE","$12,500",General & unrestricted
Foundation Fighting Blindness Inc.,2018,Amy Beck Charitable Foundation,"Brookville, NY","Amy Beck Charitable Foundation   Brookville, NY","$12,000",General operating contribution.
Foundation Fighting Blindness Inc.,2018,National Philanthropic Tr,"Jenkintown, PA","National Philanthropic Tr   Jenkintown, PA","$12,000","Public, societal benefit"
Foundation Fighting Blindness Inc.,2018,Harvard University,"Cambridge, MA","Harvard University   Cambridge, MA","$11,000",Daf distribution/charitable contribution
Foundation Fighting Blindness Inc.,2018,Horne Family Charitable Foundation,"Wheeling, WV","Horne Family Charitable Foundation   Wheeling, WV","$10,500",Carry out exempt purpose
Foundation Fighting Blindness Inc.,2018,Virginia Eye Foundation,"Norfolk, VA","Virginia Eye Foundation   Norfolk, VA","$10,000",Vision walk donation
Foundation Fighting Blindness Inc.,2018,Greater Washington Community Foundation,"Washington, DC","Greater Washington Community Foundation   Washington, DC","$10,000",General support building
Foundation Fighting Blindness Inc.,2018,Raymond James Charitable Endowment Fund,"St. Petersburg, FL","Raymond James Charitable Endowment Fund   St. Petersburg, FL","$10,000",General use
Foundation Fighting Blindness Inc.,2018,Julius Fleischman Foundation Inc.,"Ocala, FL","Julius Fleischman Foundation Inc.   Ocala, FL","$10,000",Research to cure blindness
Foundation Fighting Blindness Inc.,2018,George W Bauer Family Foundation,"Cranford, NJ","George W Bauer Family Foundation   Cranford, NJ","$10,000",Unrestricted
Foundation Fighting Blindness Inc.,2018,The Martyn Foundation,"Wilmington, DE","The Martyn Foundation   Wilmington, DE","$10,000",General & unrestricted
Foundation Fighting Blindness Inc.,2018,Phyllis M Coors Foundation,"Wilmington, DE","Phyllis M Coors Foundation   Wilmington, DE","$10,000",General & unrestricted
Foundation Fighting Blindness Inc.,2018,George W Bauer Family Foundation,"Cranford, NJ","George W Bauer Family Foundation   Cranford, NJ","$10,000",Unrestricted
Foundation Fighting Blindness Inc.,2018,Greater Houston Community Foundation,"Houston, TX","Greater Houston Community Foundation   Houston, TX","$10,000",Support research fighting blindness
Foundation Fighting Blindness Inc.,2018,Community Foundation Of Greater Greensboro Inc.,"Greensboro, NC","Community Foundation Of Greater Greensboro Inc.   Greensboro, NC","$10,000",General support
Foundation Fighting Blindness Inc.,2018,Community Foundation Of Greater Greensboro Inc.,"Greensboro, NC","Community Foundation Of Greater Greensboro Inc.   Greensboro, NC","$10,000",General support
Foundation Fighting Blindness Inc.,2018,Richard Paul And Ellen S Richman Private Family Foundation Tr Agre,"Greenwich, CT","Richard Paul And Ellen S Richman Private Family Foundation Tr Agre   Greenwich, CT","$10,000",Support operations
Foundation Fighting Blindness Inc.,2018,Greater Washington Community Foundation,"Washington, DC","Greater Washington Community Foundation   Washington, DC","$10,000",General support building
Foundation Fighting Blindness Inc.,2018,The Community Foundatio Of Louisville Depository Inc.,"Louisville, KY","The Community Foundatio Of Louisville Depository Inc.   Louisville, KY","$9,000",Human services
Foundation Fighting Blindness Inc.,2018,Donor Advised Charitable Giving,"San Francisco, CA","Donor Advised Charitable Giving   San Francisco, CA","$8,600",Health & human services
Foundation Fighting Blindness Inc.,2018,St. Louis Community Foundation Incorporated,"Saint Louis, MO","St. Louis Community Foundation Incorporated   Saint Louis, MO","$7,992",General support
Foundation Fighting Blindness Inc.,2018,Donor Advised Charitable Giving,"San Francisco, CA","Donor Advised Charitable Giving   San Francisco, CA","$7,200",Health & human services
Foundation Fighting Blindness Inc.,2018,Olstein Family Foundation Inc,"Short Hills, NJ","Olstein Family Foundation Inc   Short Hills, NJ","$7,000",Research
Foundation Fighting Blindness Inc.,2018,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY","$6,149",General operating support
Foundation Fighting Blindness Inc.,2018,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$6,000",Unrestricted general support
Foundation Fighting Blindness Inc.,2018,Chase Family Foundation,"Burnsville, MN","Chase Family Foundation   Burnsville, MN","$5,500",Medical
Foundation Fighting Blindness Inc.,2018,United Way Worldwide,"Alexandria, VA","United Way Worldwide   Alexandria, VA","$5,174",General charitable contributions
Foundation Fighting Blindness Inc.,2018,Mercy Hospitals East Communities,"Saint Louis, MO","Mercy Hospitals East Communities   Saint Louis, MO","$5,000",Charitable support
Foundation Fighting Blindness Inc.,2018,Curtis W Mc Graw Foundation,"Pennington, NJ","Curtis W Mc Graw Foundation   Pennington, NJ","$5,000",Unrestricted general
Foundation Fighting Blindness Inc.,2018,Dayton Foundation,"Dayton, OH","Dayton Foundation   Dayton, OH","$5,000",Envision 20/20 the campaign to end blindness
Foundation Fighting Blindness Inc.,2018,Millie Luing Foundation Inc.,"Woodland Park, NJ","Millie Luing Foundation Inc.   Woodland Park, NJ","$5,000",An unrestricted grant to further the organization's exempt purpose.
Foundation Fighting Blindness Inc.,2018,Usher 1f Collaborative Inc.,"Newtonville, MA","Usher 1f Collaborative Inc.   Newtonville, MA","$5,000",Support vision loss research
Foundation Fighting Blindness Inc.,2018,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$5,000",Unrestricted general support
Foundation Fighting Blindness Inc.,2018,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$5,000",Unrestricted general support
Foundation Fighting Blindness Inc.,2018,Josephine Herbert Gleis Foundation,"Corona Dl Mar, CA","Josephine Herbert Gleis Foundation   Corona Dl Mar, CA","$5,000",General use
Foundation Fighting Blindness Inc.,2018,Josephine Herbert Gleis Foundation,"Corona Dl Mar, CA","Josephine Herbert Gleis Foundation   Corona Dl Mar, CA","$5,000",General use
Foundation Fighting Blindness Inc.,2018,Greene Family Foundation Inc.,"Fernandina Beach, FL","Greene Family Foundation Inc.   Fernandina Beach, FL","$5,000",Donation to charity.
Foundation Fighting Blindness Inc.,2018,G Zachary Gund Foundation,"Concord, MA","G Zachary Gund Foundation   Concord, MA","$5,000",To help further charitable purposes of organization.
Foundation Fighting Blindness Inc.,2018,Zuckerman Family Foundation,"Glencoe, IL","Zuckerman Family Foundation   Glencoe, IL","$5,000",Public charity support
Foundation Fighting Blindness Inc.,2018,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$5,000",Unrestricted general support
Foundation Fighting Blindness Inc.,2018,Josephine Herbert Gleis Foundation,"Corona Dl Mar, CA","Josephine Herbert Gleis Foundation   Corona Dl Mar, CA","$5,000",General use
Foundation Fighting Blindness Inc.,2018,Millie Luing Foundation Inc.,"Woodland Park, NJ","Millie Luing Foundation Inc.   Woodland Park, NJ","$5,000",An unrestricted grant to further the organization's exempt purpose.
Foundation Fighting Blindness Inc.,2018,Dayton Foundation,"Dayton, OH","Dayton Foundation   Dayton, OH","$5,000",Envision 20/20 the campaign to end blindness
Foundation Fighting Blindness Inc.,2018,Jake And Jeanne Sweeney Foundation,"Cincinnati, OH","Jake And Jeanne Sweeney Foundation   Cincinnati, OH","$4,500",General usage
Foundation Fighting Blindness Inc.,2018,Mark P & Joyce A Davis Char Tr,"Dallas, TX","Mark P & Joyce A Davis Char Tr   Dallas, TX","$4,000",Unrestricted general
Foundation Fighting Blindness Inc.,2018,Sollar Foundation Inc.,"New York, NY","Sollar Foundation Inc.   New York, NY","$3,500",Unrestricted use of recipient
Foundation Fighting Blindness Inc.,2018,Carlson Family Foundation Inc.,"Chapel Hill, NC","Carlson Family Foundation Inc.   Chapel Hill, NC","$3,000",Discretionary grant
Foundation Fighting Blindness Inc.,2018,Alexander D Larson Gift Fund 00670000,"Dubuque, IA","Alexander D Larson Gift Fund 00670000   Dubuque, IA","$3,000",Health & human services
Foundation Fighting Blindness Inc.,2018,H Herbert Myers Memorial Foundation,"Parsippany, NJ","H Herbert Myers Memorial Foundation   Parsippany, NJ","$2,500",Unrestricted
Foundation Fighting Blindness Inc.,2018,Weissman Family Foundation Inc.,"Rye, NY","Weissman Family Foundation Inc.   Rye, NY","$2,500",Unrestricted
Foundation Fighting Blindness Inc.,2018,Rbg Inc.,"Denver, CO","Rbg Inc.   Denver, CO","$2,500",Medical research
Foundation Fighting Blindness Inc.,2018,Shell Usa Company Foundation,"Houston, TX","Shell Usa Company Foundation   Houston, TX","$2,050",Matching gifts education/other
Foundation Fighting Blindness Inc.,2018,Bansal Foundation,"Mclean, VA","Bansal Foundation   Mclean, VA","$2,000",Support of sec. 501(c)(3) organization
Foundation Fighting Blindness Inc.,2018,Majeed Foundation Inc.,"St. Petersburg, FL","Majeed Foundation Inc.   St. Petersburg, FL","$2,000",Support research
Foundation Fighting Blindness Inc.,2018,Lewis And Joan Lowenstein Foundation,"Houston, TX","Lewis And Joan Lowenstein Foundation   Houston, TX","$2,000",Charitable contributions
Foundation Fighting Blindness Inc.,2018,C H Robinson Worldwide Foundation,"Sioux Falls, SD","C H Robinson Worldwide Foundation   Sioux Falls, SD","$2,000",General operating fund
Foundation Fighting Blindness Inc.,2018,Kyle Todd Public Service Foundation Inc.,"Washington, DC","Kyle Todd Public Service Foundation Inc.   Washington, DC","$2,000",Charitable
Foundation Fighting Blindness Inc.,2018,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC","$1,500",Program/operating support
Foundation Fighting Blindness Inc.,2018,Michael Talty & Helen Talty Charitable Tr,"Livonia, MI","Michael Talty & Helen Talty Charitable Tr   Livonia, MI","$1,500",Research finding a cure to blindness
Foundation Fighting Blindness Inc.,2018,Robert And Eleanor Demple Family Foundation,"Sheridan, WY","Robert And Eleanor Demple Family Foundation   Sheridan, WY","$1,500",Health
Foundation Fighting Blindness Inc.,2018,Ruth And Jack Glantz Family Foundation Inc.,"Wilmington, DE","Ruth And Jack Glantz Family Foundation Inc.   Wilmington, DE","$1,000",General & unrestricted
Foundation Fighting Blindness Inc.,2018,Carl & Cassandra Segal Charitable Trust,"Pottersville, NJ","Carl & Cassandra Segal Charitable Trust   Pottersville, NJ","$1,000",Unrestricted
Foundation Fighting Blindness Inc.,2018,The Tlc Starfish Foundation Ltd.,"Glen Cove, NY","The Tlc Starfish Foundation Ltd.   Glen Cove, NY","$1,000",Funding
Foundation Fighting Blindness Inc.,2018,Odonnell Family Foundation Tr,"Radnor, PA","Odonnell Family Foundation Tr   Radnor, PA","$1,000",General & unrestricted
Foundation Fighting Blindness Inc.,2018,Leichtag Foundation,"Encinitas, CA","Leichtag Foundation   Encinitas, CA","$1,000",Support teh 2018 cheers to a cure event
Foundation Fighting Blindness Inc.,2018,U M R Foundation Inc.,"Sarasota, FL","U M R Foundation Inc.   Sarasota, FL","$1,000",See above
Foundation Fighting Blindness Inc.,2018,Winifred Cullen Teeley Foundation Inc.,"Bethesda, MD","Winifred Cullen Teeley Foundation Inc.   Bethesda, MD","$1,000",To further advance mission
Foundation Fighting Blindness Inc.,2018,Morris & Arlene Goldfarb Family Foundation Inc.,"New York, NY","Morris & Arlene Goldfarb Family Foundation Inc.   New York, NY","$1,000",To aid the donee organizations in carrying out their exempt functions.
Foundation Fighting Blindness Inc.,2018,Dankberg Family Foundation,"Encinitas, CA","Dankberg Family Foundation   Encinitas, CA","$1,000",Retinal disease research
Foundation Fighting Blindness Inc.,2018,Jd Foundation,"Nashua, NH","Jd Foundation   Nashua, NH","$1,000",General purposes
Foundation Fighting Blindness Inc.,2018,The Eirenikos Foundation,"Kittrell, NC","The Eirenikos Foundation   Kittrell, NC","$1,000",General charitable purpose
